country,ISO_code,region,hf_score,hf_rank,ef_score,ef_rank,pf_score,pf_rank,pf_rol_criminal,missing_women,womens_security,womens_movement,hdi_rank,2015_hdi,2021_pop
Canada,CAN,North America,8.565863321,5.0,7.98,10.0,9.151726642,12.0,7.410711181,10.0,10.0,10.0,10,0.098,38246108.0
Chile,CHL,Latin America & the Caribbean,8.00801767,32.0,7.8,15.0,8.216035341,39.0,5.55075071,10.0,8.333333333,10.0,38,0.322,19212362.0
China,CHN,East Asia,5.905410169,135.0,6.46,108.0,5.350820339,141.0,4.779258971,2.5,5.833333333,10.0,90,0.164,1412360000.0
Colombia,COL,Latin America & the Caribbean,6.760756637,87.0,6.5,105.0,7.021513273,79.0,3.4264592,10.0,10.0,5.0,95,0.393,51265841.0
Costa Rica,CRI,Latin America & the Caribbean,7.857714484,37.0,7.55,33.0,8.165428969,40.0,5.560008947,10.0,10.0,10.0,66,0.308,5139053.0
Croatia,HRV,Eastern Europe,7.708087876,44.0,6.96,75.0,8.456175752,35.0,5.056636383,10.0,10.0,10.0,45,0.141,3899000.0
Denmark,DNK,Western Europe,8.547819985,6.0,7.77,16.0,9.325639969,4.0,8.168528987,10.0,10.0,10.0,5,0.041,5856733.0
Ecuador,ECU,Latin America & the Caribbean,6.80527768,83.0,6.06,127.0,7.550555359,59.0,3.812076235,10.0,10.0,10.0,89,0.391,17888474.0
El Salvador,SLV,Latin America & the Caribbean,7.033950991,70.0,7.15,67.0,6.917901981,83.0,2.981356483,10.0,10.0,10.0,117,0.384,6518500.0
Estonia,EST,Eastern Europe,8.436850609,14.0,7.86,13.0,9.013701218,17.0,6.789710192,10.0,10.0,10.0,30,0.131,1329254.0
Ethiopia,ETH,Sub-Saharan Africa,5.397044971,150.0,5.73,146.0,5.064089941,150.0,3.39706108,10.0,5.866666667,10.0,174,0.499,117876226.0
Finland,FIN,Western Europe,8.472183958,10.0,7.65,22.0,9.294367917,5.0,8.464094281,10.0,10.0,10.0,23,0.056,5541696.0
France,FRA,Western Europe,8.008401464,32.0,7.25,57.0,8.766802927,25.0,6.469893744,10.0,10.0,10.0,21,0.102,67499343.0
Georgia,GEO,Caucasus & Central Asia,7.798267753,40.0,8.02,7.0,7.576535507,58.0,5.076457842,7.5,7.5,10.0,70,0.361,3708610.0
Germany,DEU,Western Europe,8.462595689,13.0,7.69,20.0,9.235191378,9.0,7.743620677,10.0,10.0,10.0,4,0.066,83129285.0
Ghana,GHA,Sub-Saharan Africa,7.236088908,57.0,6.6,98.0,7.872177815,46.0,5.148000998,10.0,8.2,10.0,139,0.547,31732128.0
Greece,GRC,Eastern Europe,7.203384075,61.0,6.46,108.0,7.94676815,45.0,5.265668671,10.0,8.333333333,10.0,29,0.119,10664568.0
Guatemala,GTM,Latin America & the Caribbean,7.094122991,66.0,7.64,23.0,6.548245982,99.0,3.046596404,10.0,10.0,10.0,125,0.494,17109746.0
Honduras,HND,Latin America & the Caribbean,6.723241298,92.0,7.06,70.0,6.386482597,107.0,2.436940446,10.0,8.333333333,5.0,130,0.461,10062994.0
Hungary,HUN,Eastern Europe,7.739472887,42.0,7.22,59.0,8.258945773,38.0,4.748055147,10.0,10.0,10.0,43,0.252,9709886.0
India,IND,South Asia,6.412935668,110.0,6.63,96.0,6.195871335,112.0,4.246546065,5.0,6.666666667,10.0,131,0.53,1393409033.0
Indonesia,IDN,South Asia,6.77065623,85.0,7.16,65.0,6.38131246,108.0,3.54256533,7.5,7.5,5.0,113,0.467,276361788.0
